,0
0,-118.49633768555762
1,-85.12396646811683
2,-61.7710333419
3,-74.11590755081404
4,-94.36900002528711
5,-80.30150415036324
6,-76.70390708306309
7,-116.6750956071047
8,-68.50485942708026
9,-67.4449176794373
10,-60.526982609395525
11,-83.37692718873869
12,-101.6721461845495
13,-71.7104429915269
14,-63.17809170945251
15,-71.49389791581507
16,-106.50926489667187
17,-97.13809292031281
18,-83.144796588959
19,-67.2915243980843
20,-111.38755165262289
21,-76.18065853498473
22,-68.5595042368459
23,-63.57465234776097
24,-74.42290185303479
25,-111.45891405567716
26,-87.73833181281742
27,-76.36328322960671
28,-81.10231617675873
29,-87.41264642056733
30,-87.10629137239052
31,-59.59810955467114
32,-75.55902386481614
33,-87.10629137239052
34,-72.58190643093732
35,-104.57824116853922
36,-90.30679204794421
37,-83.52351323816823
38,-75.10850387735246
39,-55.67563312417099
40,-94.12776495172885
41,-85.5771885632764
42,-84.49206778436442
43,-72.78934486984984
44,-67.77286233657654
45,-76.05299017014013
46,-178.5855445923091
47,-87.6031226901099
48,-70.8032792968205
49,-63.8150699579618
50,-84.36118020755198
51,-103.73391307344261
52,-56.518305643091765
53,-63.501192230871986
54,-73.04495283334269
55,-66.12864760230124
56,-91.80020039411855
57,-87.33571786730542
58,-85.49988433930059
59,-67.30634669928124
60,-103.01619648016197
61,-135.26649127247708
62,-67.27981588789517
63,-112.63084541406185
64,-123.80550301196845
65,-95.74748359850784
66,-111.72902500763816
67,-86.56495435403856
68,-59.03969819524482
69,-58.065239601156705
70,-80.43749373018251
71,-88.22241966844035
72,-162.40189412691393
73,-57.01219490766968
74,-74.0000901836087
75,-91.35581792410186
76,-65.62307993062637
77,-62.860790354479526
78,-181.55032302709034
79,-64.679564488785
80,-74.352945589851
81,-96.33950169839181
82,-66.38239229661669
83,-70.61680993449188
84,-86.91909687033422
85,-71.54927841942322
86,-61.661217827444815
87,-55.49426730865201
88,-68.05328636195144
89,-70.0608666685324
90,-72.35981018368943
91,-72.3334606202847
92,-85.59592550621443
93,-105.99897959875457
94,-71.83092444024551
95,-78.24668450884027
96,-214.03314901778893
97,-140.33234539565944
98,-95.10682255117487
99,-54.51961082495511
100,-85.2654861441823
101,-79.76048860762552
102,-101.41457036157358
103,-64.1109903759596
104,-86.84233966035745
105,-69.68180089865965
106,-61.09422368954385
107,-69.78239511387243
108,-73.60604136298791
109,-153.15860482426172
110,-68.34743649314777
111,-272.41225170671083
112,-55.19450254524375
