,0
0,-113.37108524730232
1,-111.900055857674
2,-115.63988924484237
3,-113.49442266788468
4,-110.77305907609076
5,-114.3987182501538
6,-121.581693046451
7,-121.51569910912497
8,-132.82200245188207
9,-127.74286072373316
10,-121.56484911582324
11,-136.1979138840705
12,-133.8061211877867
13,-123.14242692457088
14,-129.49734292922352
15,-128.08432679252627
16,-121.69128230165198
17,-119.74613691023038
18,-117.08371791094616
19,-120.06431052443892
20,-141.14523596958014
21,-130.5667807142175
22,-120.4618999564316
23,-128.44083857283323
24,-126.54327508168656
25,-122.57822798347308
26,-130.652109228388
27,-123.4836685934018
28,-126.1979070836125
29,-127.74651554906018
30,-131.27144784977375
31,-125.96666192802176
32,-122.20945495948656
33,-119.04570858571444
34,-125.6516398314602
35,-118.63326552406517
36,-126.37667389166064
37,-130.35940268940848
38,-128.72111543066663
39,-126.16601614932392
40,-127.0504983960751
41,-122.27485817169392
42,-123.755230319252
43,-123.56225007362488
44,-125.87207639285012
45,-114.78458929809958
46,-127.3720496599681
47,-116.180117181357
48,-129.56471079533006
49,-127.42271093754024
50,-125.84785180954782
51,-125.04678001080605
52,-130.01390764317154
53,-121.71534522280776
54,-133.06461999785216
55,-124.2335729836662
56,-119.73323610607612
57,-121.60995057248604
58,-124.21246431839852
59,-131.29455946121658
60,-118.22225912659482
61,-123.29549836750044
62,-127.52622085183796
63,-121.42635055373589
64,-126.3156279711758
65,-133.46435162375894
66,-131.94994593177498
67,-128.65093493578277
68,-123.61466528527411
69,-123.52928490506868
