,0
0,-80.64331383751659
1,-137.67449872059493
2,-97.47008399283936
3,-123.46649518274272
4,-107.89649245875415
5,-222.91416003722563
6,-88.5539660643
7,-77.52118328044028
8,-100.88491977484242
9,-98.6717220669095
10,-171.68100678520074
11,-83.45796188351858
12,-96.54038824535728
13,-91.35733534406768
14,-121.60847186229418
15,-96.07404024504336
16,-106.84290909534302
17,-118.5894406478383
18,-134.10426151084647
19,-87.82041497108249
20,-95.42813016848469
21,-95.39746285160456
22,-95.68179430266127
23,-117.1252016722272
24,-114.62767176430606
25,-84.77659276272593
26,-92.78451501494756
27,-76.13473163144087
28,-184.98427876572725
29,-91.84238486468124
30,-99.41860460626825
31,-115.39211599166065
32,-100.98594498253296
33,-105.1105507750455
34,-82.46960602292643
35,-99.56118121463577
36,-102.86824133878343
37,-99.30637686325385
38,-127.28603680758154
39,-94.51260713247676
40,-104.43464492473028
41,-87.77006572705616
42,-90.22382871038644
43,-141.86058841727876
44,-82.48886366104249
45,-94.51490358558593
46,-102.30492078057364
47,-97.44119917796417
48,-116.28726698454084
49,-406.89696857890624
50,-82.28710262676697
51,-105.79338699889054
52,-93.68029800727804
53,-130.88330630158882
54,-91.76464928538594
55,-124.85047650789376
56,-105.09037955445883
57,-89.69550140816746
58,-97.09827374442575
59,-95.20113768884322
60,-93.04115808334392
61,-125.35711686066033
62,-82.47637719562984
63,-92.80288683048076
64,-97.54106338812667
65,-114.6422937271976
66,-98.62222964064678
67,-109.0785051969182
68,-90.36886209041492
69,-73.7872991003258
70,-124.6750667158215
71,-73.37473637725448
72,-107.89774628806096
73,-106.11460106871353
74,-93.39840114122512
75,-76.56002639661486
76,-108.09721565037547
77,-75.55351378993656
78,-135.90463551811496
79,-76.08097120075347
80,-96.40550928152254
81,-108.32081579772742
82,-83.16636469384015
83,-93.4955697391611
84,-86.24853626942179
85,-113.20425580391183
86,-93.8040677844866
87,-125.67324682063388
88,-108.98105159924772
89,-111.29803183333502
90,-196.3088239828045
91,-195.4170537365125
92,-119.05340682133682
93,-94.04963442189224
94,-104.33009355756244
95,-94.3821574908667
96,-96.13099339064284
97,-100.68771641314142
98,-101.71143939163916
99,-104.51468423104508
100,-94.0833175550536
101,-95.60685084395018
102,-96.48667953892428
103,-96.97360053707212
104,-84.86339437142405
105,-111.71613106868902
106,-87.59645170966243
107,-78.67957550382677
108,-87.1321450401826
109,-91.33765443862757
110,-117.16241497973452
111,-98.13314802878618
112,-97.1705075133932
113,-162.45708717065733
114,-78.80600860602907
115,-281.5528129975097
116,-98.5516468225903
117,-86.83451531085882
118,-123.58901346063612
119,-72.80051826190456
120,-102.50322592997696
121,-103.18786189897274
122,-116.23173609318462
123,-76.25467895823631
124,-92.51132602687096
125,-71.92893254967919
126,-89.25981824275487
127,-120.44379054837523
128,-81.8165251702523
129,-136.52554207022678
130,-91.88518836674749
131,-259.5909535111944
132,-123.3698930698638
133,-84.74578262105179
134,-94.26748606825764
135,-120.00510036495102
136,-87.43687739403788
137,-148.93209674775574
138,-81.44224663560286
139,-118.80448191837048
140,-68.87279557831688
141,-134.2385260839788
142,-108.12962554913952
143,-102.6384709760096
144,-93.3657063440241
145,-73.6098664853677
146,-88.95690888579105
147,-77.81440931592151
148,-174.0022936193547
149,-97.8430913746637
150,-94.11342788483348
151,-155.96677727854967
152,-82.5121447426889
153,-118.7491797602234
154,-129.39168177394885
155,-100.68934404625004
156,-106.86119593648397
157,-101.12601423886557
158,-92.21800098420556
159,-90.11501744578918
160,-105.3675690081083
161,-95.80792289936866
162,-109.65008104526336
163,-100.96719372397398
164,-91.65382930151912
165,-80.40564142511225
166,-75.3133337883544
167,-123.95293900821989
168,-307.8742199754974
169,-97.39971206081589
170,-95.475286370301
171,-124.32871843675856
172,-83.14448248235234
173,-104.74068715651678
174,-91.48402928098056
175,-110.41993596124937
176,-92.18964285185554
177,-93.88014764127892
178,-121.37294986323566
179,-126.1018262760447
180,-146.8245600048362
181,-179.0046315109192
182,-93.20307147398007
183,-85.97869918010663
184,-223.0653804128393
185,-82.06814213837609
186,-124.36947365627084
187,-413.67373947320846
188,-93.3285283313739
189,-125.8428241107416
190,-142.60942631962553
191,-88.63363601901926
192,-112.74835919017043
193,-102.31704561795712
194,-96.84873796718014
195,-83.49191876897527
196,-167.4618824875929
197,-123.9067014577276
198,-109.40282788712211
199,-126.54971557204158
200,-121.15636406966304
201,-111.70528863949572
202,-161.67426170628502
203,-173.48252158349703
204,-124.53915064348048
205,-68.53287189586098
206,-127.43170489696544
207,-108.17459178084697
208,-89.19057227164686
209,-81.77054376332843
210,-91.81272694179168
211,-109.51012430662016
212,-114.98079074478468
213,-79.7635163602829
214,-102.33653020573382
215,-197.37051631560973
216,-107.4799521725577
217,-213.411552846841
218,-93.53400429479396
219,-192.19509971238827
220,-70.15649054808652
221,-111.99836812228052
222,-112.8990666665978
223,-83.25864535822397
224,-98.22766027068596
225,-122.11629912449862
226,-79.04576222283842
227,-98.57405988690512
228,-90.82911127363997
229,-100.14099478293988
230,-94.69022983482488
231,-144.09551495408712
232,-94.27677051229
233,-82.2533396857262
234,-180.8367736330565
235,-76.13774095565084
236,-88.88560559601508
237,-78.20693907161477
238,-78.12339708442025
239,-97.66028322855624
240,-142.69222939857434
241,-105.82060241010709
242,-83.32761445775722
243,-72.61485069040121
244,-93.38431484005692
245,-146.92001804455586
246,-82.1396301497506
247,-91.4843434352206
248,-109.26848260152002
249,-152.77928946838767
250,-90.78402295665876
251,-103.11962463717744
252,-94.57476569919493
253,-139.1108713662358
254,-133.87493570252613
255,-109.78008511144422
256,-171.0090622863261
257,-96.07625902150134
258,-86.86244249758796
259,-85.14793220280745
260,-119.80924477772022
261,-92.62812217476592
262,-133.82893709375847
263,-101.82151258960926
264,-104.03483324493132
265,-115.21608818536754
266,-79.84221463130352
267,-99.79612741420188
268,-104.37474701838536
269,-151.64345622200796
270,-66.75310947166906
271,-80.53699057579432
272,-94.11457443680229
273,-159.40849869285486
274,-101.81892452712874
275,-123.57014195051288
276,-110.88040444758536
277,-85.94585929737462
278,-140.35809117410972
279,-117.6731674106955
280,-95.57517503661464
281,-107.95135878694262
282,-185.949433682757
283,-106.2989842540826
284,-118.40331951359887
285,-70.36678512794917
286,-125.00889305135524
287,-81.1059943705702
288,-85.86312479985436
289,-72.52530220622457
290,-122.32718794846306
291,-105.02103020801462
292,-117.14714441797544
293,-89.52847061999562
294,-81.82493466084952
295,-85.75650692302492
296,-185.498774739353
297,-84.37199195875985
298,-154.6962006994526
299,-76.95879057194828
300,-71.70554979678674
301,-87.75279155770916
302,-79.72236461367262
303,-113.75568587147816
304,-118.30964728799376
305,-75.83344737426195
306,-82.61206611847355
307,-110.83002100555044
308,-64.26964893470769
309,-95.58018807943252
310,-78.38551182167208
311,-85.51898376341042
312,-103.37259798336486
313,-125.91416446004536
314,-82.70234267607073
315,-95.92738451669544
316,-87.08243911248002
317,-70.84835106704259
318,-96.93474817878854
319,-85.3262063688998
320,-106.93555003944512
321,-111.01192920337836
322,-71.65093029563177
323,-94.1418421445997
324,-117.33684583353885
325,-109.0314298648589
326,-139.51057127739978
327,-97.17739633998924
328,-148.40464292513528
329,-175.6451526519161
330,-119.42203093876977
331,-68.13818190769405
332,-115.23800148976667
333,-91.83408723190666
334,-96.6289116111952
335,-72.98798975322539
336,-122.28057517797664
337,-133.39091405053375
338,-90.07255771589452
339,-80.69686534966965
340,-76.96555550654718
341,-112.29586680916634
342,-121.2741303561242
343,-138.1237158252757
344,-125.01887643709512
345,-110.0072254889512
346,-103.2796973701296
347,-86.31764147295023
348,-155.68197500912768
349,-82.26949590120775
350,-146.2120201897669
351,-98.75946437941116
352,-103.92041258509732
353,-102.2210661299673
354,-139.04558174449608
355,-67.51202551682768
356,-117.01942946830266
357,-122.79190303480163
358,-84.52232363022723
359,-77.51972228824239
360,-205.0053577027808
361,-138.55091617415445
362,-158.82696762904706
363,-104.4946395085274
364,-164.28850709169114
365,-82.49486586576404
366,-97.3649790789076
367,-81.77712131702431
368,-116.59212545705788
369,-124.0734103309569
370,-131.5720650044435
371,-96.28519483227888
372,-96.19673056242137
373,-103.34810729828162
374,-102.38898650943814
375,-77.99241912622047
376,-105.60031778154082
377,-86.98006698517425
378,-76.41513538340395
379,-93.21436522598827
380,-116.4547914240054
381,-126.61051016717722
382,-194.9069977524072
383,-124.93650055743066
384,-101.35271203546104
385,-302.3764110952017
386,-103.97378943036664
387,-77.89663923432036
