,0
0,-109.14849701534489
1,-112.9434673606818
2,-107.63383492836356
3,-108.66790297911916
4,-119.31673687672276
5,-113.53535578890484
6,-118.90895631601865
7,-125.94847425988915
8,-123.9676580772896
9,-124.65818163545322
10,-126.06792637229844
11,-133.91618277384325
12,-130.84070424932324
13,-123.945416216578
14,-120.36638581069045
15,-130.28319681072105
16,-125.5618621040879
17,-124.3165623045614
18,-119.91769767723346
19,-121.08523340048193
20,-124.43304364553023
21,-124.29539858522286
22,-122.53195411010758
23,-128.77133572934164
24,-126.45667971274668
25,-129.8015130729654
26,-120.84713222973262
27,-121.6044762358942
28,-127.60024818399336
29,-122.3066619790982
30,-125.06899247101038
31,-125.65311167675752
32,-124.9053186509105
33,-121.63596750852508
34,-134.74557421945488
35,-128.69905182955003
36,-125.68857179276804
37,-117.51836715346153
38,-122.68309793595212
39,-124.16216848745192
40,-122.78231944211902
41,-122.34064531150383
42,-124.22750108533752
43,-125.56918883815388
44,-124.29037533955729
45,-127.11499984764298
46,-124.6534969881448
47,-125.71250822307871
48,-124.96183658052811
49,-123.54446286465192
