,0
0,578.7114093959732
1,572.1220028208745
2,565.5459004905396
3,567.1014241055922
4,574.5594182334161
5,573.6607648725212
6,584.1507378777231
7,579.0790513833992
8,578.5954088952655
9,585.5460967855881
10,575.0527807297202
11,595.16382128587
12,583.4077359829666
13,572.3903839253678
14,578.1272857655074
15,577.8056939501779
16,578.1663113006397
17,577.2414772727273
18,574.2897463379778
19,582.817792068596
20,573.2932197373092
21,575.3827072997874
22,584.709240099893
23,573.1261425959781
24,574.7121968616262
25,579.0506879073135
26,580.8332140300644
27,577.5499462943072
28,581.45523193096
29,580.9742857142858
30,582.4500537056928
31,585.5086705202312
32,577.75770609319
33,577.5807486631016
34,580.2908309455587
35,583.2754880694143
36,571.2454577841112
37,576.2868823320299
38,577.6875675675676
39,574.2182203389831
40,569.1644079885878
41,575.9484425349087
42,586.6815080789946
43,584.5868242033656
44,573.3379629629629
45,576.0255681818181
46,577.9564904710536
47,582.4270944741533
48,579.9736373352333
49,573.7457446808511
