Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10,Agent 11,Agent 12,Agent 13,Agent 14,Agent 15,Agent 16
-0.00893081429318885,-0.0038148524923702952,-0.0,-0.012745666785559145,-0.005115961800818554,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0178616285863777,-0.0,-0.0038148524923702952,-0.00893081429318885
-0.014046776094007406,-0.011444557477110887,-0.0038148524923702952,-0.021676481078748,-0.010231923601637109,-0.0,-0.0,-0.0,-0.005115961800818554,-0.0,-0.0,-0.0,-0.031908404680385104,-0.011444557477110887,-0.0038148524923702952,-0.014046776094007406
-0.015347885402455665,-0.016681987644708657,-0.0076297049847405905,-0.03442214786430714,-0.015347885402455665,-0.0,-0.0,-0.0,-0.010231923601637109,-0.0,-0.0,-0.005115961800818554,-0.0409063540588434,-0.015259409969481181,-0.011444557477110887,-0.021676481078748
-0.03463209166406083,-0.028126545121819543,-0.012867135152338359,-0.02679244287956655,-0.010231923601637109,-0.0,-0.0,-0.008997949378458305,-0.01922987298009542,-0.0,-0.0,-0.012879936956098056,-0.046022315859661954,-0.0076297049847405905,-0.02954912279704702,-0.02037537177029974
-0.04737775844961998,-0.03860140545701506,-0.020949720670391067,-0.014046776094007406,-0.019229872980095417,-0.0,-0.0,-0.01799589875691661,-0.01922987298009542,-0.0,-0.0,-0.01799589875691661,-0.05365202084440254,-0.009052282659968061,-0.04383883562461285,-0.01656051927792944
-0.06832747912001104,-0.03478655296464477,-0.020949720670391067,-0.03823700035667744,-0.019229872980095417,-0.0,-0.0,-0.024345834780913973,-0.015347885402455661,-0.0,-0.005237430167597766,-0.017995898756916612,-0.057466873336772833,-0.018104565319936126,-0.040023983132242535,-0.030850232105495264
-0.045349888732814786,-0.04526141329984031,-0.020949720670391067,-0.04968155783378833,-0.051339682916288876,-0.0,-0.0,-0.03845974596019081,-0.02699384813537492,-0.0038819875776397515,-0.005237430167597766,-0.008997949378458305,-0.04608945094493143,-0.020496840137078955,-0.048106568650295244,-0.04644105424150937
-0.04904327285840587,-0.041446560807470015,-0.04429171615792497,-0.042051852849047736,-0.05257365713946768,-0.005237430167597766,-0.0038819875776397515,-0.04357570776100937,-0.04622372111547032,-0.0038819875776397515,-0.0,-0.014113911179276859,-0.04227459845256113,-0.02573427030467671,-0.04429171615792495,-0.06454561956144549
-0.04904327285840587,-0.04383883562461284,-0.05476657649312051,-0.052350911535954316,-0.05768961894028624,-0.014356847912835282,-0.0038819875776397515,-0.03845974596019081,-0.05133968291628888,-0.0,-0.0,-0.024345834780913976,-0.04357570776100937,-0.03097170047227448,-0.04952914632552272,-0.07359790222141355
-0.06844894748679023,-0.04002398313224255,-0.05334399881789303,-0.05241804662122377,-0.06280558074110479,-0.009119417745237517,-0.0038819875776397515,-0.04357570776100937,-0.04511121525907074,-0.0038819875776397515,-0.0,-0.024345834780913973,-0.07839640287711885,-0.03097170047227448,-0.06524143682831603,-0.06857041585356946
-0.07368637765438801,-0.041446560807470015,-0.0690562893206863,-0.04886747121011691,-0.06668756831874455,-0.005237430167597766,-0.010474860335195532,-0.04745769533864914,-0.043877241035891926,-0.007763975155279503,-0.0,-0.024345834780913973,-0.0937229479318695,-0.038601405457015084,-0.06905628932068632,-0.06617814103642664
-0.06733644163039061,-0.04810656865029526,-0.07571629716351153,-0.05779828550330576,-0.07445154347402404,-0.005237430167597766,-0.010474860335195532,-0.05257365713946769,-0.0425217984459339,-0.011645962732919252,-0.0038819875776397515,-0.03210980993619348,-0.10374492773375289,-0.034786552964644786,-0.06905628932068632,-0.07632158920508927
-0.08157182117644675,-0.05341113390316248,-0.07959828474115124,-0.0627927789373451,-0.07056955589638428,-0.009119417745237517,-0.0,-0.056455644717107435,-0.03987378509147297,-0.013001405322877267,-0.007763975155279502,-0.03722577173701202,-0.10116404946456142,-0.04532854838510976,-0.07571629716351157,-0.08513093513149893
