,0
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,14.5
7,100.0
8,100.0
9,100.0
10,100.0
11,15.0
12,-17.0
13,100.0
14,-52.78477767918762
15,100.0
16,-34.45144434585429
17,-47.78477767918762
18,-36.666666666666664
19,100.0
20,25.5
21,-38.428256804487845
22,100.0
23,-37.98556475730389
24,-56.118111012520956
25,100.0
26,100.0
27,100.0
28,100.0
29,-41.428256804487845
30,100.0
31,100.0
32,100.0
33,100.0
34,-47.118111012520956
35,100.0
36,-60.78477767918762
37,-73.61111111111111
38,100.0
39,100.0
40,-32.00000000000001
41,100.0
42,100.0
43,100.0
44,-44.00000000000001
45,100.0
46,16.0
47,8.5
48,-27.333333333333332
49,100.0
50,100.0
51,-50.0
52,100.0
53,100.0
54,-54.2
55,-81.02825680448784
56,-61.75
57,-11.0
58,-34.118111012520956
59,-51.0
60,-58.5
61,100.0
62,-68.66666666666667
63,-69.25
64,100.0
65,-13.666666666666666
66,-24.118111012520956
67,-50.4661635428761
68,-48.5
69,100.0
70,100.0
71,100.0
72,-47.5
73,-73.92645786468246
74,-85.73556475730389
75,19.0
76,100.0
77,19.5
78,100.0
79,100.0
80,100.0
81,100.0
82,24.5
83,-85.590551477508
84,22.5
85,19.0
86,-46.8
87,18.5
88,-83.19055147750801
89,-50.63729746902468
90,-40.666666666666664
91,-83.2
92,-35.0
93,-67.66666666666667
94,100.0
95,-28.0
96,100.0
97,-54.631838830732775
98,-48.01363686352139
99,100.0
100,-66.36111111111111
101,100.0
102,-63.63729746902468
103,-64.12531099684857
104,-55.45144434585429
105,-43.78477767918762
106,-35.78477767918762
107,100.0
108,-62.28195616430911
109,-14.666666666666677
110,-90.67272727272727
111,-77.39055147750801
112,-62.20872604045324
113,-30.666666666666668
114,-19.666666666666668
115,-71.28195616430911
116,100.0
117,-98.590551477508
118,-22.5
119,-96.9738047868813
120,100.0
121,-88.75
122,-3.0
123,20.5
124,100.0
125,-26.91206217395933
126,100.0
127,-74.03183883073277
128,-75.790551477508
129,-81.39055147750801
130,100.0
131,-57.78015461188181
132,-45.23556475730389
133,100.0
134,-105.0
135,-80.73556475730389
136,-45.990551477508
137,-34.118111012520956
138,100.0
139,100.0
140,-30.5
141,-58.82825680448784
142,100.0
143,-69.73556475730389
144,-59.82825680448784
145,100.0
146,100.0
147,-72.20179385130069
148,-40.78477767918762
149,100.0
150,-88.790551477508
151,100.0
152,-77.42328441227717
153,23.5
154,20.5
155,-58.428256804487845
156,-65.20872604045324
157,-18.5
158,-47.82825680448785
159,-86.590551477508
160,100.0
161,-32.48556475730389
162,-47.85672526170255
163,-52.59055147750801
164,-24.5
165,-94.61111111111111
166,100.0
167,-91.23183883073277
168,-100.0
169,-64.28195616430911
170,100.0
171,100.0
172,-54.4586443301819
173,100.0
174,-50.611111111111114
175,-40.5
176,100.0
177,-40.361111111111114
178,-26.451444345854288
179,-110.11111111111111
180,100.0
181,-45.056725261702546
182,100.0
183,-59.43183883073277
184,-58.065868897596104
185,-58.0
186,-70.64047145354796
187,-30.0
188,-63.118111012520956
189,23.5
190,-25.333333333333332
191,5.5
192,100.0
193,-45.75000000000001
194,-31.118111012520956
195,100.0
196,-28.666666666666668
197,100.0
198,100.0
199,-24.0
200,1.0
201,-60.22825680448784
202,-110.0
203,100.0
204,-95.94862283097578
205,-47.25
206,-83.990551477508
207,-23.0
208,21.0
209,-96.0
210,-95.590551477508
211,-53.45144434585429
212,-37.190551477508
213,-68.78015461188183
214,100.0
215,-55.861111111111114
216,-47.5
217,-54.43183883073277
218,100.0
219,-73.5
220,-61.78477767918762
221,-56.990551477508006
222,100.0
223,-104.42328441227717
224,100.0
225,100.0
226,-116.19055147750801
227,-83.0
228,100.0
229,100.0
230,-51.45144434585429
231,100.0
232,-86.92645786468246
233,-98.19055147750801
234,-85.590551477508
235,-57.43183883073277
236,100.0
237,-81.5
238,-61.45144434585429
239,100.0
240,100.0
241,-85.61111111111111
242,-36.578728840626
243,-73.63729746902467
244,-7.0
245,-6.5
246,-71.5
247,-61.0
248,-53.666666666666664
249,-68.78477767918763
250,-87.95864433018191
251,27.5
252,-37.666666666666664
253,-74.48556475730389
254,-39.62825680448785
255,-98.54828441227717
256,-109.0658688975961
257,-74.83183883073278
258,-11.5
259,-47.98556475730389
260,-56.19055147750801
261,-69.49444032616753
262,-53.428256804487845
263,-98.990551477508
264,100.0
265,-79.39055147750801
266,-33.48556475730389
267,100.0
268,-108.0
269,-100.0
270,-50.666666666666664
271,100.0
272,100.0
273,100.0
274,-64.39055147750801
275,-17.5
276,100.0
277,-82.11111111111111
278,100.0
279,-58.111111111111114
280,100.0
281,-95.6
282,-59.0
283,-59.45144434585429
284,-65.45144434585428
285,100.0
286,-79.79197766351523
287,-38.78477767918762
288,-29.118111012520956
289,100.0
290,16.0
291,100.0
292,-39.5
293,25.5
294,-97.63729746902467
295,6.0
296,-26.0
297,-102.790551477508
298,-73.0
299,-33.85672526170255
300,-54.23556475730389
301,100.0
302,-41.666666666666664
303,-68.5
304,-74.7597911980158
305,-77.5391139858433
306,100.0
307,-78.67272727272727
308,100.0
309,-40.666666666666664
310,100.0
311,-97.33333333333333
312,100.0
313,-57.333333333333336
314,-88.8
315,-41.118111012520956
316,100.0
317,100.0
318,-82.6
319,-70.78477767918763
320,100.0
321,100.0
322,-99.49444032616752
323,100.0
324,-71.88475944650378
325,-93.80281833963035
326,-9.5
327,-13.333333333333343
328,100.0
329,100.0
330,-26.0
331,100.0
332,-73.62825680448785
333,-85.590551477508
334,-85.98556475730389
335,-108.78015461188181
336,-107.29197766351524
337,100.0
338,-54.46322893234123
339,-85.02825680448784
340,-63.390551477508005
341,100.0
342,-67.85672526170255
343,100.0
344,-79.52460770328102
345,-85.86111111111111
346,-54.361111111111114
347,-9.5
348,-85.34085254602753
349,-66.2
350,-24.118111012520956
351,100.0
352,-74.63183883073278
353,-82.02825680448784
354,-17.333333333333332
355,-84.22825680448784
356,100.0
357,-79.63729746902467
358,-41.111111111111114
359,100.0
360,-69.7891139858433
361,-81.69188923263229
362,-90.23138976820178
363,100.0
364,100.0
365,100.0
366,100.0
367,-97.72640060875355
368,-53.428256804487845
369,-60.25000000000001
370,-114.990551477508
371,-94.42645786468246
372,-86.19055147750801
373,-120.43183883073277
374,-79.790551477508
375,-92.12531099684857
376,24.5
377,-84.20872604045324
378,-120.16666666666667
379,-48.98556475730389
380,-101.0
381,-85.78015461188181
382,100.0
383,-3.5
384,-100.790551477508
385,-101.5
386,100.0
387,100.0
388,-56.118111012520956
389,-120.69207700037684
390,100.0
391,-92.19055147750801
392,-93.25
393,-92.11111111111111
394,100.0
395,-55.23183883073277
396,-88.590551477508
397,-59.45144434585429
398,-75.42825680448784
399,-16.666666666666668
400,-73.93076577083099
401,100.0
402,2.0
403,-86.61528949764244
404,100.0
405,-103.49300573484763
406,100.0
407,-72.92301175473897
408,-32.0
409,-82.19055147750801
410,18.5
411,-75.33333333333333
412,-114.42645786468246
413,100.0
414,-104.39306727542022
415,-91.06278079420846
416,100.0
417,21.5
418,22.5
419,-84.590551477508
420,100.0
421,-12.5
422,-67.61111111111111
423,-97.78015461188181
424,100.0
425,-81.92645786468246
426,-75.20872604045324
427,-67.0
428,-63.82825680448784
429,-88.39055147750801
430,100.0
431,100.0
432,-70.990551477508
433,-91.790551477508
434,-79.78015461188181
435,-112.33333333333333
436,100.0
437,-39.5
438,100.0
439,-145.390551477508
440,-95.72640060875355
441,-123.590551477508
442,-58.43183883073277
443,-4.5
444,-88.83751171986466
445,-91.32051051388733
446,-111.2
447,-114.49444032616752
448,100.0
449,-95.790551477508
450,21.0
451,20.0
452,-107.0553152456407
453,-33.23556475730389
454,-69.1788770935626
455,-69.42645786468246
456,100.0
457,100.0
458,-83.23556475730389
459,-58.456725261702545
460,-171.5
461,-77.11111111111111
462,-85.84085254602753
463,100.0
464,-74.05672526170255
465,100.0
466,-93.8
467,-92.63183883073278
468,-94.75
469,-68.0658688975961
470,-69.49444032616753
471,100.0
472,100.0
473,-98.79197766351524
474,-20.5
475,100.0
476,100.0
477,-75.23183883073277
478,-57.390551477508005
479,-30.98556475730389
480,-75.94567548248749
481,-65.48556475730389
482,-64.82825680448784
483,-69.42825680448784
484,-56.85672526170255
485,-36.666666666666664
486,-62.833333333333336
487,0.5
488,-74.49444032616752
489,-52.790551477508004
490,100.0
491,-111.0
492,-23.666666666666668
493,-75.12531099684857
494,100.0
495,-45.45144434585429
496,0.0
497,100.0
498,25.0
499,100.0
500,100.0
501,100.0
502,-102.71463735958952
503,-84.0658688975961
504,100.0
505,-77.75
506,-99.990551477508
507,-25.666666666666668
508,-93.170845053198
509,-75.59312453134913
510,-110.36111111111111
511,18.5
512,-112.98556475730389
513,-55.62825680448784
514,100.0
515,100.0
516,-126.66666666666667
517,-68.05672526170255
518,100.0
519,100.0
520,-97.36111111111111
521,-90.98556475730389
522,100.0
523,-64.46150587736949
524,100.0
525,100.0
526,-44.62825680448785
527,23.5
528,100.0
529,-39.85672526170255
530,100.0
531,100.0
532,-95.01363686352138
533,100.0
534,100.0
535,-89.5
536,100.0
537,-64.3515831833104
538,-74.0
539,-80.170845053198
540,20.0
541,-55.790551477508004
542,-43.45144434585429
543,-84.73556475730389
544,100.0
545,-129.79197766351524
546,-150.990551477508
547,-67.83751171986466
548,-64.63729746902467
549,100.0
550,16.0
551,100.0
552,100.0
553,-53.83183883073277
554,100.0
555,-48.5391139858433
556,-110.0658688975961
557,-69.92301175473897
558,100.0
559,17.5
560,100.0
561,-60.63729746902468
562,-20.5
563,100.0
564,100.0
565,100.0
566,100.0
567,-51.12531099684856
568,-86.11811101252096
569,100.0
570,-135.19207700037683
571,-45.45144434585429
572,-114.990551477508
573,100.0
574,-85.20872604045324
575,100.0
576,-85.73556475730389
577,-35.0
578,100.0
579,100.0
580,-87.19055147750801
581,-0.5
582,-60.92645786468247
583,-79.12531099684857
584,100.0
585,-83.92328441227717
586,100.0
587,100.0
588,100.0
589,-76.92645786468246
590,-46.24539550729266
591,-58.22825680448784
592,-50.20872604045325
593,-41.75000000000001
594,-8.5
595,-93.42328441227717
596,-153.390551477508
597,-101.790551477508
598,-32.0
599,-12.0
600,19.5
601,-76.25
602,-90.35158318331038
603,100.0
604,100.0
605,-56.19055147750801
606,-69.19055147750801
607,-61.78015461188182
608,-45.456725261702545
609,100.0
610,100.0
611,-96.5
612,-45.333333333333336
613,-56.118111012520956
614,100.0
615,-44.45144434585429
616,-58.790551477508004
617,-100.11111111111111
618,-95.19055147750801
619,-57.45144434585429
620,-143.2355647573039
621,-83.17418587936088
622,-53.45144434585429
623,-39.0
624,-60.0
625,-73.35158318331038
626,-49.056725261702546
627,-112.77460770328102
628,-68.03183883073277
629,-22.0
630,-78.33333333333333
631,6.0
632,25.5
633,21.5
634,100.0
635,-7.0
636,20.0
637,100.0
638,-45.923011754738965
639,-57.118111012520956
640,100.0
641,100.0
642,100.0
643,-54.12531099684856
644,-64.92301175473897
645,-80.48556475730389
646,-96.92645786468246
647,-86.92301175473895
648,-49.78477767918762
649,-178.4855647573039
650,-109.60076979109523
651,100.0
652,100.0
653,-59.02825680448784
654,-37.912062173959335
655,-58.0
656,-41.75000000000001
657,12.5
658,-74.2
659,-16.0
660,-78.20872604045324
661,17.0
662,100.0
663,-58.790551477508004
664,-107.590551477508
665,-26.5
666,-104.95864433018191
667,-90.39055147750801
668,-39.666666666666664
669,-126.77460770328102
670,21.0
671,-54.0
672,100.0
673,100.0
674,-104.98556475730389
675,-118.66666666666667
676,-56.333333333333336
677,-45.990551477508
678,100.0
679,-75.62531099684857
680,-121.83183883073278
681,-70.42825680448784
682,-55.861111111111114
683,-56.92301175473896
684,-61.631838830732775
685,-72.11811101252096
686,100.0
687,-60.2891139858433
688,-96.83183883073278
689,-29.00000000000001
690,-30.333333333333332
691,-72.66666666666667
692,-53.00000000000001
693,-56.056725261702546
694,21.5
695,100.0
696,-82.48556475730389
697,21.0
698,-37.25000000000001
699,-72.23183883073277
700,-107.12531099684857
701,100.0
702,-43.190551477508
703,-76.05672526170255
704,-58.22825680448784
705,-113.0075192126942
706,-57.19055147750801
707,-126.36111111111111
