,0
0,-48.67000102847872
1,-46.41524154448894
2,-48.16334977064801
3,-43.213047506980885
4,-45.52683808308757
5,-52.19966872366052
6,-52.370247250886166
7,-47.59878633874844
8,-44.63160902309378
9,-46.78152322882148
10,-39.381849874878334
11,-37.81083427638827
12,-40.21396237547112
13,-40.54304243055989
14,-41.08343489810522
15,-39.44590042553407
16,-39.25462374163693
17,-44.6608818768154
18,-46.04239989553864
19,-43.4549406017298
20,-46.84077396324802
21,-45.77817446648721
22,-44.03444895279637
23,-40.27073015767755
24,-38.64558655014629
25,-42.10002668025061
26,-40.12913571370651
27,-37.31667923902135
28,-35.98378103313943
29,-40.21471905687999
30,-38.15533861091502
31,-39.94006051582537
32,-39.02666083168588
33,-36.38902488905187
34,-37.82852609561257
35,-36.59199208912784
36,-36.46365629505039
37,-36.70022473407237
38,-37.18750337043252
39,-38.444920006840064
40,-34.80428981526019
41,-35.8978938247767
42,-34.79380818722396
43,-35.92036135257298
44,-33.75185309467526
45,-36.33538153668716
46,-36.53703006987221
47,-34.22524303874742
48,-34.647850695882106
49,-35.20186884411576
50,-35.095713241755035
51,-35.09580515374426
52,-34.24057617022233
53,-35.728407630120486
54,-32.86777419938564
55,-32.65705068831239
56,-33.56824275090286
57,-33.50131407270091
58,-33.90258635312909
59,-33.967481852726344
60,-33.96703529019025
61,-32.54440651981562
62,-33.007523225842846
63,-33.795254669464235
64,-31.54019050663488
65,-32.63479904422541
66,-32.24050376467116
67,-33.00554137705059
68,-31.726567123642774
69,-30.232456628258564
