,0
0,100.0
1,100.0
2,-23.5
3,100.0
4,100.0
5,100.0
6,-29.245395507292667
7,-39.00000000000001
8,100.0
9,100.0
10,-48.24539550729266
11,100.0
12,-37.5
13,24.0
14,100.0
15,-28.5
16,-38.47097314159628
17,21.5
18,100.0
19,-41.0
20,-70.91206217395933
21,-23.666666666666668
22,11.0
23,100.0
24,-49.43183883073277
25,-75.73556475730389
26,-34.45144434585429
27,5.5
28,100.0
29,-44.428256804487845
30,100.0
31,-68.00000000000001
32,-62.22825680448784
33,21.0
34,-66.39055147750801
35,100.0
36,-53.47097314159629
37,100.0
38,-29.666666666666668
39,10.5
40,-53.20872604045325
41,-18.784777679187624
42,-42.46322893234123
43,-66.48810104954845
44,-27.91206217395933
45,100.0
46,13.0
47,-75.24539550729266
48,-70.0
49,-53.5
50,-43.36111111111112
51,100.0
52,-62.8
53,11.0
54,100.0
55,-20.33333333333333
56,100.0
57,-15.5
58,100.0
59,-9.0
60,12.5
61,100.0
62,-55.83183883073277
63,-13.5
64,-53.65672526170255
65,-60.0
66,-90.2891139858433
67,-3.5
68,-78.62825680448785
69,-64.990551477508
70,-47.23810104954845
71,-50.23856491895945
72,-75.73856491895945
73,-42.631838830732775
74,-66.4586443301819
75,-48.61111111111112
76,-67.36111111111111
77,-58.24539550729266
78,100.0
79,-88.75
80,100.0
81,100.0
82,-64.29828441227717
83,-33.0
84,-68.8
85,-65.7279225778071
86,25.0
87,16.5
88,17.5
89,-66.23810104954845
90,100.0
91,21.5
92,-53.333333333333336
93,-97.01363686352138
94,-61.62825680448784
95,-57.47097314159629
96,100.0
97,-94.35055059214628
98,-37.23183883073277
99,-56.45672526170255
100,100.0
101,-30.988101049548447
102,-55.48810104954845
103,-58.96322893234123
104,-64.73856491895945
105,-41.5
106,12.0
107,-66.25
108,-62.90523158562612
109,-79.03183883073277
110,-56.35731867979476
111,-61.24539550729266
112,-59.24539550729266
113,100.0
114,-78.02825680448784
115,8.5
116,-67.45672526170254
117,-29.245395507292667
118,100.0
119,-59.57872884062599
120,-85.33333333333333
121,-46.5
122,-64.22825680448784
123,-91.92301175473897
124,-14.750000000000009
125,-46.0
126,-81.20179385130069
127,-53.428256804487845
128,100.0
129,100.0
130,-52.833333333333336
131,-4.5
132,-73.0
133,-38.99999999999999
134,-50.2
135,-97.34085254602752
136,-85.79197766351524
137,-75.0
138,-55.333333333333336
139,-62.66666666666666
140,-34.0
141,-74.79197766351523
142,-74.43538986033214
143,-61.22825680448784
144,-96.15649400637854
145,-33.73810104954845
146,100.0
147,-92.1965733164304
148,27.0
149,-44.6
150,-95.16666666666669
151,-87.63729746902467
152,-93.0
153,-52.22825680448784
154,-86.29197766351524
155,-78.39055147750801
156,-53.75
157,-96.11111111111111
158,100.0
159,-27.5
160,-64.4
161,-46.5
162,-64.99004918220291
163,-73.11111111111111
164,-51.48556475730389
165,-32.23810104954845
166,-88.75
167,-81.62531099684857
168,-70.4
169,-1.0
170,-91.89007730594092
171,-98.00688950849435
172,-71.64996684150238
173,-65.07272727272728
174,-29.25
175,-43.75
176,-66.90523158562611
177,-20.33333333333333
178,-38.0
179,17.5
180,-50.5
181,-94.0658688975961
182,-95.7801546118818
183,-63.8
184,100.0
185,-42.2806321698804
186,-36.912062173959335
187,-45.4
188,100.0
189,-28.0
190,100.0
191,-44.4
192,100.0
193,-70.73856491895945
194,-57.79197766351523
195,-85.5
196,-50.49999999999999
197,-61.5306321698804
198,-69.66666666666667
199,-86.66666666666667
200,-81.5
201,100.0
202,100.0
203,-88.82825680448784
204,-71.66666666666667
205,-52.03183883073277
206,-105.74722016308375
207,-48.7806321698804
208,-54.428256804487845
209,-65.24539550729266
210,-40.912062173959335
211,-6.0
212,-64.22825680448784
213,-67.91206217395933
214,-76.93076577083099
215,-108.86396128890354
216,-57.66666666666666
217,12.5
218,23.5
219,-84.79197766351523
220,-98.16666666666669
221,18.0
222,-82.29993368300477
223,-24.666666666666668
224,-35.333333333333336
225,100.0
226,-73.0
227,-58.428256804487845
228,-75.25
229,-71.0
230,-28.5
231,-51.2
232,-67.25
233,100.0
234,100.0
235,-74.61111111111111
236,100.0
237,-25.666666666666668
238,-68.16666666666667
239,-61.12531099684856
240,100.0
241,-50.66666666666666
242,100.0
243,-73.29253271747497
244,-23.5
245,-91.29197766351524
246,-73.84719203934576
247,-69.07189825229278
248,-56.428256804487845
249,100.0
250,-94.60731867979476
251,100.0
252,-89.7891139858433
253,8.5
254,-110.92328441227716
255,-59.73231867979476
256,-72.8
257,-76.07189825229278
258,19.5
259,100.0
260,-15.5
261,24.5
262,-55.22825680448784
263,-44.91206217395933
264,-62.92328441227718
265,-59.804306474929625
266,-43.47097314159629
267,20.0
268,100.0
269,-71.03317355246139
270,-59.804306474929625
271,-42.90523158562612
272,-44.333333333333336
273,-60.90523158562612
274,100.0
275,-96.4
276,-102.15649400637854
277,-93.5
278,-72.7948717948718
279,-77.89007730594092
280,-81.0
281,-24.11811101252096
282,-72.8
283,-56.45672526170255
284,-39.65672526170255
285,-78.74722016308377
286,-49.57872884062599
287,14.0
288,-79.2
289,100.0
290,100.0
291,-20.00000000000001
292,-32.912062173959335
293,-73.79993368300477
294,-37.7891139858433
295,-76.29828441227717
296,-45.5
297,100.0
298,-49.78477767918762
299,-53.66666666666666
300,-23.245395507292667
301,-53.29656226567457
302,-41.66666666666668
303,100.0
304,100.0
305,-73.33333333333333
306,23.0
307,100.0
308,-76.03293444879806
309,-10.5
310,100.0
311,-116.66215101385087
312,-77.75
313,-55.25000000000001
314,-23.5
315,-4.5
316,-30.238101049548447
317,-33.333333333333336
318,100.0
319,100.0
320,-63.47097314159629
321,-70.98810104954845
322,-53.5
323,100.0
324,-56.5
325,-75.82825680448784
326,-52.62825680448784
327,100.0
328,100.0
329,-64.09312453134913
330,-85.13763980826296
331,100.0
332,-64.5
333,-46.03183883073277
334,-37.66666666666666
335,-56.73810104954845
336,-95.37424691105892
337,-60.60731867979476
338,-42.11811101252096
339,-102.0559526904081
340,-72.30713812021463
341,-55.35158318331039
342,-91.36111111111111
343,-27.245395507292667
344,-42.61111111111112
345,-42.578728840626
346,-13.666666666666677
347,-106.24383611566655
348,-77.23856491895945
349,21.0
350,-40.0
351,-44.58506543494996
352,-56.0
353,20.0
354,-44.333333333333336
355,-22.0
356,-16.0
357,100.0
358,-89.0
359,-57.25
360,100.0
361,-48.62825680448785
362,100.0
363,-116.5639199992229
364,100.0
365,-43.98810104954845
366,-41.80430647492962
367,-55.65672526170255
368,-66.75
369,-62.82825680448784
370,-44.66666666666666
371,-59.65672526170255
372,100.0
373,-61.631838830732775
374,-69.0658688975961
375,-22.245395507292667
376,-86.17328441227717
377,100.0
378,-43.91206217395933
379,-53.35055059214627
380,-74.27272727272728
381,-52.5
382,-42.33333333333334
383,-47.0
384,-88.58506543494995
385,-58.57189825229278
386,-44.028256804487846
387,-39.5391139858433
388,-72.29935114923568
389,-53.20872604045325
390,-75.07189825229278
391,-33.23556475730389
392,-64.47657243041859
393,-64.02825680448784
394,-90.86111111111111
395,-41.25
396,100.0
397,-23.500000000000007
398,-41.0
399,-41.0
400,-59.25
401,-67.8
402,-53.25
403,-82.75
404,-57.48810104954845
405,-48.62825680448785
406,-32.0
407,-61.98810104954845
408,100.0
409,-93.69855934076116
410,-79.05672526170255
411,-29.0
412,15.0
413,20.5
414,100.0
415,-85.92328441227717
416,-100.16666666666669
417,-42.25672526170255
418,-49.66666666666666
419,-77.80620565498252
420,-28.75
421,-80.02825680448784
422,-83.43183883073277
423,-63.75
424,-72.12531099684857
425,-79.73856491895945
426,-72.0
427,-53.48810104954845
428,-66.90523158562611
429,-37.0
430,-53.5306321698804
431,-96.95864433018193
432,-48.22825680448785
433,-52.46150587736948
434,100.0
435,100.0
436,-64.79197766351523
437,-64.46463735958952
438,-59.98810104954845
439,100.0
440,-79.08853262534464
441,100.0
442,-83.29197766351523
443,-65.43538986033212
444,-39.2891139858433
445,-52.0
446,-109.52049136926824
447,-113.20179385130068
448,-83.63729746902467
449,-55.494440326167535
450,-43.11111111111112
451,-56.24539550729266
452,100.0
453,-28.25
454,-55.0
455,-60.428256804487845
456,-65.25
457,-72.92301175473895
458,-73.5
459,-47.66666666666668
460,-87.09191994069681
461,-106.10731867979476
462,-74.0075192126942
463,-52.333333333333336
464,-60.66666666666666
465,-42.0
466,-37.5
467,-47.25
468,-51.333333333333336
469,-63.16666666666666
470,-71.5
471,-54.16666666666666
472,25.5
473,-54.23183883073277
474,-71.83333333333333
475,-63.66666666666666
476,-72.5
477,20.0
478,100.0
479,-85.80620565498252
480,-43.47097314159629
481,-53.5
482,23.0
483,100.0
484,-75.17418587936088
485,-91.92301175473897
486,-66.4586443301819
487,-40.0
488,-97.20872604045324
489,-42.0
490,-57.03293444879806
491,-38.66666666666666
492,10.5
493,-70.4
494,100.0
495,-68.57189825229278
496,-74.25
497,100.0
498,-43.0
499,100.0
500,8.5
501,-63.5
502,-22.5
503,-89.78353850018841
504,-82.45672526170254
505,-59.79828441227718
506,-51.2
507,100.0
508,-72.30713812021463
509,-53.55055059214627
510,6.5
511,8.5
512,-41.45144434585429
513,-80.17418587936088
514,3.5
515,-56.305952690408105
516,-69.03076577083098
517,-49.25
518,-62.91206217395933
519,-60.463228932341245
520,-96.75055059214628
521,-70.82825680448784
522,-98.10731867979476
523,-97.33333333333331
524,100.0
525,-29.666666666666675
526,-43.25
527,-84.71463735958952
528,-67.3515831833104
529,-91.0
530,-74.63183883073278
531,-59.6
532,-91.03293444879806
533,-84.4
534,-98.56996481785178
535,-65.24539550729266
536,-64.63729746902467
537,100.0
538,-62.47097314159629
539,100.0
540,-60.86111111111112
541,-53.4
542,100.0
543,100.0
544,-105.16666666666669
545,-53.25
546,-85.13763980826296
547,-64.73810104954845
548,-30.98556475730389
549,-74.25672526170254
550,-66.0
551,100.0
552,-81.0
553,-63.07189825229278
554,-24.25
555,13.0
556,7.0
557,11.5
558,-76.73556475730389
559,-28.784777679187624
560,-84.55834114657644
561,-52.61111111111112
562,-75.6
563,-56.2
564,-56.46660034967143
565,-85.38877901698872
566,-56.73810104954845
567,-109.98810104954843
568,-101.29197766351524
569,100.0
570,-55.22825680448784
571,-79.7211041460464
572,-45.12531099684856
573,-69.62825680448785
574,-51.73810104954845
575,-65.79828441227717
576,-42.0306321698804
577,-99.60731867979476
578,100.0
579,-74.6332670163381
580,100.0
581,-81.03293444879806
582,-33.25
583,-113.43183883073276
584,-99.4660583378888
585,-72.2
586,-44.0391139858433
587,100.0
588,-72.29828441227717
589,-47.75
590,-79.71463735958952
591,-35.028256804487846
592,19.5
593,100.0
594,-28.245395507292667
595,100.0
596,-97.29993368300477
597,-66.85672526170255
598,-81.19055147750801
599,100.0
600,-65.80430647492962
601,-98.05672526170255
602,-71.75055059214627
603,-53.4
604,-67.55834114657644
605,-60.963228932341245
606,-91.00688950849435
607,-42.23810104954845
608,-44.6
609,-88.87077972066425
610,-65.6
611,-61.22825680448784
612,-96.22825680448784
613,-72.0
614,-75.1332670163381
615,-45.85672526170255
616,-92.46150587736948
617,-85.66666666666667
618,-65.5
619,-49.390551477508
620,-65.62531099684857
621,-52.5306321698804
622,-94.87077972066425
623,-103.6
624,-53.0
625,-74.12531099684857
626,-56.333333333333336
627,12.0
628,-61.03183883073277
629,-46.25
630,100.0
631,-101.39239112340414
632,-91.0
633,-62.57189825229278
634,-75.79197766351523
635,-44.03183883073277
636,-69.4586443301819
637,-66.4
638,-20.578728840626
639,-57.62825680448784
640,-58.46322893234123
641,-102.630765770831
642,-31.5
643,-82.33963735958952
644,-62.22825680448784
645,-52.25
646,-83.73231867979476
647,-31.6
648,100.0
649,-21.33333333333333
650,-25.5
651,-11.333333333333334
652,2.5
653,-57.25672526170255
654,-53.91206217395933
655,-66.24539550729266
656,-112.94862283097578
657,15.0
658,-97.4
659,-63.333333333333336
660,-75.05672526170255
661,-82.9586443301819
662,-70.74722016308377
663,100.0
664,100.0
665,-71.4586443301819
666,-60.66666666666666
667,9.5
668,-12.0
669,-71.80430647492962
670,100.0
671,-92.990551477508
672,100.0
673,100.0
674,-32.23556475730389
675,100.0
676,-59.4
677,100.0
678,-62.62531099684856
