,0
0,-45.78068180938604
1,-48.21934420006583
2,-50.03998694705464
3,-50.19431915425524
4,-46.24070595470398
5,-48.098629574452296
6,-45.02028828001578
7,-51.495912454738885
8,-45.90688969040167
9,-51.56863898042251
10,-47.43161617710715
11,-50.06059301759906
12,-46.977173200192105
13,-47.40767531406358
14,-47.82968701409732
15,-40.60531492726719
16,-43.959113718630825
17,-43.26847819724372
18,-41.82953059608233
19,-37.55647846510812
20,-44.65273931295153
21,-40.546224622098855
22,-37.96062336639836
23,-45.00778885641171
24,-38.08843808271836
25,-37.03191563151297
26,-38.56174598374051
27,-36.65994900360383
28,-44.30967494818279
29,-40.97704464086614
30,-35.815919319903
31,-34.24160252952098
32,-32.482562226732355
33,-37.4681266532124
34,-35.46202748183236
35,-38.80887724290467
36,-35.46753002092724
37,-35.54053111792391
38,-43.69110048991562
39,-38.624428962399406
40,-38.5250241562934
41,-36.81182032421848
42,-36.51345693668349
43,-36.55757643521315
44,-40.057564184758064
45,-33.680555665707715
46,-42.46318921205364
47,-51.24782090641593
48,-40.24566723344242
49,-40.96719082254887
50,-40.44514952306209
51,-38.57395670828128
52,-41.48750454240085
53,-41.25364328609051
54,-43.66316171816588
55,-40.488421572111896
56,-41.77310793127119
57,-32.84003791674304
58,-42.09278911178551
59,-37.20778500675237
60,-37.82789805394495
61,-40.3009355126086
62,-38.98430404600534
63,-40.12568001871409
64,-38.78079158032187
65,-31.62816352514365
66,-35.39626866158335
67,-35.85615834320123
68,-37.28180703142065
69,-35.96124866774783
70,-35.70139191955182
71,-35.960556062475966
72,-32.8528593230034
73,-32.322465240829814
74,-32.55985050383879
75,-32.72024783914934
76,-31.788934933549424
77,-33.34356867181207
78,-32.70684388022438
79,-33.9697426882014
80,-34.22945193288926
81,-34.025802451116
82,-31.15017613580144
83,-33.54761902065735
84,-31.600367394921324
85,-32.20938168100099
86,-31.94471656713821
87,-31.608870271651305
88,-34.03599592149577
89,-30.00914089889709
90,-34.488978773296694
91,-31.36584550350013
92,-32.27412279404614
93,-33.25617803454392
94,-30.77698072663898
95,-27.786031255438328
96,-33.0548570438527
97,-31.62560850559158
98,-28.15301183913832
99,-31.49230442787214
