,0
0,100.0
1,17.0
2,100.0
3,-31.245395507292667
4,100.0
5,100.0
6,100.0
7,-10.666666666666666
8,-22.91206217395933
9,-37.7806321698804
10,-44.23556475730389
11,24.0
12,3.5
13,-23.5
14,-40.23810104954845
15,-50.5
16,-46.028256804487846
17,-74.5
18,100.0
19,100.0
20,-44.00000000000001
21,-50.47097314159629
22,-27.451444345854288
23,20.0
24,-44.75000000000001
25,-56.25
26,-77.33333333333334
27,100.0
28,-24.75
29,-47.66666666666666
30,100.0
31,-61.23556475730389
32,-53.11811101252096
33,-32.0
34,-56.66666666666666
35,-62.33333333333334
36,-13.333333333333345
37,-33.666666666666664
38,100.0
39,-100.11111111111111
40,-46.6
41,100.0
42,-57.57872884062599
43,-71.790551477508
44,-80.6
45,100.0
46,5.0
47,-65.0
48,100.0
49,-65.73810104954845
50,100.0
51,15.0
52,-63.20872604045324
53,-57.25
54,100.0
55,-33.0
56,100.0
57,-45.05672526170255
58,-26.0
59,-61.428256804487845
60,-66.47657243041859
61,-39.25
62,-64.31864873451234
63,-10.5
64,-61.9586443301819
65,100.0
66,-29.578728840626
67,-33.24539550729266
68,-52.79197766351523
69,100.0
70,-76.39055147750801
71,100.0
72,-46.62825680448785
73,-23.0
74,100.0
75,-79.15055059214627
76,-56.49444032616753
77,-70.85672526170255
78,100.0
79,-22.333333333333325
80,-51.390551477508005
81,-64.2
82,-82.27272727272728
83,100.0
84,-55.5
85,13.5
86,-60.5
87,-79.578728840626
88,-91.0
89,-26.0
90,-57.16666666666666
91,-46.83183883073277
92,100.0
93,100.0
94,-39.43183883073277
95,-61.73810104954845
96,-40.25672526170255
97,-73.25
98,18.0
99,100.0
100,-58.16666666666666
101,100.0
102,100.0
103,-64.79197766351523
104,-64.48810104954845
105,-56.0
106,13.0
107,-90.80430647492962
108,12.0
109,-85.29253271747497
110,-57.67418587936087
111,-13.333333333333334
112,-52.91206217395933
113,-25.578728840626
114,100.0
115,-90.33333333333331
116,-41.60000000000001
117,100.0
118,-46.75
119,-78.6298955990079
120,-49.11111111111112
121,100.0
122,-59.5
123,-68.8
124,-45.82825680448785
125,-75.36846051796736
126,-70.22825680448784
127,-67.07272727272728
128,-99.0
129,100.0
130,-31.91206217395933
131,-47.27272727272727
132,-77.0
133,-91.11111111111111
134,-49.25
135,100.0
136,-62.8
137,100.0
138,-45.40523158562612
139,-32.578728840626
140,-43.57872884062599
141,-52.86111111111112
142,-77.80430647492962
143,-60.8
144,-52.25
145,-51.0306321698804
146,-49.699840219128056
147,-76.29197766351523
148,-56.0
149,100.0
150,-74.98330017483572
151,-27.98556475730389
152,-67.78056336879867
153,27.0
154,-112.64996684150238
155,-47.400000000000006
156,-47.0
157,-27.5
158,-33.5
159,-41.5
160,-20.25
161,-82.63188950849437
162,-30.5
163,-70.04828441227717
164,-57.2
165,-8.666666666666666
166,-44.0
167,-81.46660034967142
168,-71.98231867979476
169,100.0
170,20.0
171,100.0
172,-86.94862283097578
173,-85.2
174,-94.66666666666669
175,-42.73556475730389
176,-39.25672526170255
177,-69.33333333333333
178,-60.870779720664245
179,-32.8
180,-78.8
181,-76.66666666666667
182,-51.33333333333334
183,-53.5
184,-60.29935114923568
185,100.0
186,18.5
187,-91.58506543494995
188,100.0
189,-49.73810104954845
190,-72.75055059214627
191,-51.8
192,-73.5771694489999
193,-65.2891139858433
194,-70.5
195,100.0
196,-51.0
197,-93.43538986033212
198,-74.16666666666667
199,-90.66666666666669
200,-77.73856491895945
201,-54.0306321698804
202,100.0
203,100.0
204,-61.50000000000001
205,-83.0
206,-64.33333333333333
207,-57.86111111111112
208,-92.8
209,100.0
210,-80.2948717948718
211,-101.17328441227716
212,-26.5
213,-40.912062173959335
214,-77.25
215,100.0
216,17.5
217,-54.62825680448784
218,100.0
219,100.0
220,100.0
221,-69.5
222,-89.66666666666667
223,100.0
224,-85.66666666666667
225,100.0
226,100.0
227,-75.5
228,-44.631838830732775
229,100.0
230,100.0
231,-82.35158318331038
232,-92.170845053198
233,-31.33333333333333
234,-71.31707700037684
235,-15.5
236,-109.02825680448784
237,-43.75
238,6.0
239,-70.4
240,-29.666666666666668
241,100.0
242,100.0
243,-64.12820512820512
244,-52.48810104954845
245,-42.804306474929625
246,-61.52049136926824
247,-57.4
248,-74.79993368300477
249,-71.89007730594092
250,-29.578728840626
251,-21.0
252,-64.2
253,-30.666666666666668
254,-53.56147775363148
255,-50.6
256,-51.8
257,20.0
258,-49.4
259,-72.4738047868813
260,-63.82825680448784
261,-79.92328441227717
262,100.0
263,100.0
264,-114.2
265,-34.2
266,100.0
267,-60.75
268,-67.790551477508
269,-53.5
270,16.0
271,-48.2806321698804
