,0
0,-107.0
1,-143.0
2,-102.0
3,-67.5
4,-96.5
5,-59.0
6,-50.0
7,-56.0
8,-54.0
9,-117.0
10,-144.0
11,-67.0
12,-167.5
13,-56.0
14,-124.0
15,-88.0
16,-60.0
17,-78.0
18,-56.0
19,-113.0
20,-157.0
21,-58.0
22,-91.66666666666667
23,-63.0
24,-62.0
25,-57.0
26,-53.0
27,-164.5
28,-111.75
29,-66.0
30,-99.0
31,-147.5
32,-84.66666666666667
33,-90.0
34,-99.5
35,-93.0
36,-88.14285714285714
37,-156.33333333333334
38,-149.0
39,-139.0
40,-128.0
41,-143.75
42,-175.5
43,-135.0
44,-82.66666666666667
45,-125.66666666666667
46,-152.0
47,-287.0
48,-87.8
49,-125.5
50,-96.0
51,-137.0
52,-87.14285714285714
53,-115.16666666666667
54,-67.0
55,-129.25
56,-114.33333333333333
57,-76.75
58,-97.66666666666667
59,-97.57142857142857
60,-78.66666666666667
61,-208.0
62,-119.66666666666667
63,-56.0
64,-136.0
65,-52.0
66,-120.5
67,-55.0
68,-96.0
69,-97.33333333333333
70,-123.66666666666667
71,-72.5
72,-89.2
73,-68.0
74,-118.6
75,-157.0
76,-95.75
77,-62.0
78,-87.75
79,-347.0
80,-175.5
81,-57.0
82,-94.66666666666667
83,-103.5
84,-132.0
85,-69.0
86,-56.0
87,-117.0
88,-97.5
89,-107.75
90,-81.66666666666667
91,-118.5
92,-49.0
93,-202.0
94,-300.0
95,-195.0
96,-152.0
97,-139.0
98,-325.0
99,-55.0
100,-215.0
101,-96.0
102,-87.22222222222223
103,-91.1
104,-113.0
105,-109.0
106,-111.0
107,-116.6
108,-117.25
109,-66.0
110,-212.5
111,-116.5
112,-118.5
113,-105.27272727272727
114,-118.8
115,-105.33333333333333
116,-130.5
117,-179.2
118,-74.0
119,-108.28571428571429
120,-118.33333333333333
121,-89.375
122,-99.41666666666667
123,-161.5
124,-311.0
125,-425.0
126,-121.16666666666667
127,-127.0
128,-146.6
129,-66.5
130,-269.0
131,-124.0
132,-143.66666666666666
133,-96.5
134,-135.0
135,-123.0
136,-107.0
137,-115.0
138,-98.5
139,-115.0
140,-101.14285714285714
141,-117.0
142,-120.88888888888889
143,-122.0
144,-133.6
145,-107.0
146,-124.83333333333333
147,-119.33333333333333
148,-81.4
149,-310.0
150,-376.0
151,-155.66666666666666
152,-143.5
153,-124.42857142857143
154,-143.5
155,-112.7
156,-107.0
157,-62.0
158,-263.0
159,-162.0
160,-92.7
161,-129.0
162,-51.0
163,-119.0
164,-98.0
165,-162.33333333333334
166,-100.06666666666666
167,-146.9
168,-134.0
169,-137.66666666666666
170,-125.66666666666667
171,-108.5
172,-112.25
173,-361.0
174,-126.0
175,-116.72727272727273
176,-102.1
177,-305.0
178,-140.0
179,-133.375
180,-94.81818181818181
181,-117.71428571428571
182,-160.33333333333334
183,-65.0
184,-81.0
185,-139.0
186,-98.3076923076923
187,-93.0
188,-132.8
189,-75.0
190,-114.63636363636364
191,-117.85714285714286
192,-108.83333333333333
193,-119.875
194,-113.0
195,-114.1
196,-111.0
197,-89.42857142857143
198,-227.0
199,-161.77777777777777
200,-139.8
201,-434.0
202,-167.0
203,-101.46666666666667
204,-258.0
205,-312.0
206,-143.83333333333334
207,-130.16666666666666
208,-76.5
209,-108.9
210,-78.0
211,-105.33333333333333
212,-91.0
213,-127.8
214,-156.4
215,-92.2
216,-89.5
217,-116.4
218,-105.2
219,-91.5
220,-53.0
221,-204.0
222,-155.0
223,-69.0
224,-119.64285714285714
225,-110.78571428571429
226,-139.63636363636363
227,-97.25
228,-143.83333333333334
229,-173.0
230,-124.07142857142857
231,-152.0
232,-108.66666666666667
233,-114.4
234,-126.85714285714286
235,-127.0
236,-107.8
237,-97.42857142857143
238,-62.666666666666664
239,-108.66666666666667
240,-87.0
241,-83.3076923076923
242,-105.33333333333333
243,-111.66666666666667
244,-142.0
245,-130.84615384615384
246,-107.0
247,-98.0
248,-89.0
249,-133.64285714285714
250,-111.4
251,-97.6923076923077
252,-137.54545454545453
253,-113.2
254,-156.0
255,-153.0
256,-128.375
257,-99.88888888888889
258,-105.38461538461539
259,-108.5
260,-112.85714285714286
261,-164.0
262,-101.5
263,-114.57142857142857
264,-139.25
265,-118.125
266,-145.11111111111111
267,-190.0
268,-185.0
269,-108.23076923076923
270,-187.0
271,-146.16666666666666
272,-131.0
273,-92.66666666666667
274,-346.0
275,-76.0
276,-162.2
277,-121.4
278,-82.0
279,-158.5
280,-115.66666666666667
281,-58.0
282,-91.83333333333333
283,-146.0
284,-113.16666666666667
285,-105.72222222222223
286,-180.0
287,-80.0
288,-89.18181818181819
289,-96.84615384615384
290,-112.46666666666667
291,-148.0
292,-107.0
293,-344.5
294,-106.0
295,-109.66666666666667
296,-160.42857142857142
297,-89.2
298,-127.5
299,-104.07142857142857
300,-119.7
301,-64.5
302,-215.5
303,-122.81818181818181
304,-114.92307692307692
305,-56.0
306,-108.3076923076923
307,-97.33333333333333
308,-76.5
309,-108.42857142857143
310,-102.42857142857143
311,-114.8
312,-161.0
313,-169.7
314,-140.66666666666666
315,-83.0
316,-116.0
317,-419.0
318,-136.57142857142858
319,-99.5
320,-156.27272727272728
321,-83.0
322,-110.42105263157895
323,-129.5
324,-78.5
325,-142.25
326,-140.2
