,0
0,-129.96169509466517
1,-124.6800387628204
2,-117.38917257373456
3,-110.46979029633384
4,-106.03430439940573
5,-107.25741780843026
6,-106.3292660301402
7,-106.00803035249416
8,-107.88409235593002
9,-107.26356676760956
10,-108.72601266074868
11,-109.2793304605509
12,-106.38911616657737
13,-107.90981440810822
14,-104.92620220423628
15,-105.91410888123922
16,-106.9414861788372
17,-107.0631607288461
18,-109.85012786587616
19,-108.81903592080994
20,-110.0170813307513
21,-109.53645400467995
22,-109.9897529061036
23,-109.2340021643014
24,-111.0396564341219
25,-110.4774000533962
26,-108.83506195658948
27,-109.1109622823476
28,-109.15526849050312
29,-109.55169294709124
30,-108.12884971694142
31,-108.25408261071436
32,-109.31558103106822
33,-109.76382760237902
34,-107.96615499175756
35,-108.50717815621876
36,-107.7061325754826
37,-107.95728424905214
38,-107.72281446114962
39,-107.04013307497462
40,-108.43091694752589
41,-106.68233988877324
42,-107.87726089936824
43,-107.81285338268036
44,-108.68199588627564
45,-107.03005290358232
46,-107.93553515572856
47,-107.2308601651231
48,-106.24130249794396
49,-108.16491301722311
50,-108.38008591179918
51,-108.53405400844656
52,-106.93694263168088
53,-108.36573289402556
54,-109.44710380497604
55,-107.52011842170388
56,-107.42767731340396
57,-109.3216868024997
58,-107.73182962312237
59,-107.76046132789264
60,-107.17607673557896
61,-108.17814046701494
62,-108.61831181259012
63,-109.8111028317481
64,-108.2006317985749
65,-108.04327353586248
66,-107.52234372136476
67,-107.545690734659
68,-106.7993484970206
69,-109.09363646180957
