,0
0,-77.0
1,-65.0
2,-111.0
3,-104.0
4,-170.0
5,-85.0
6,-89.0
7,-115.66666666666669
8,-128.0
9,-53.0
10,-57.0
11,-82.0
12,-69.25
13,-76.5
14,-69.0
15,-84.25
16,-93.0
17,-56.0
18,-104.33333333333331
19,-140.0
20,-95.0
21,-103.0
22,-69.25
23,-95.0
24,-131.33333333333334
25,-127.2
26,-126.33333333333331
27,-70.0
28,-162.5
29,-165.25
30,-149.0
31,-65.0
32,-97.85714285714286
33,-77.0
34,-140.0
35,-103.0
36,-121.0
37,-146.0
38,-105.14285714285714
39,-120.0
40,-91.0
41,-127.71428571428572
42,-145.5
43,-116.66666666666669
44,-60.0
45,-72.0
46,-248.0
47,-81.5
48,-149.16666666666666
49,-122.5
50,-95.75
51,-82.16666666666667
52,-111.6
53,-85.0
54,-91.0
55,-136.0
56,-67.0
57,-122.0
58,-153.0
59,-111.14285714285714
60,-89.83333333333333
61,-107.5
62,-105.8
63,-132.25
64,-109.25
65,-106.5
66,-160.0
67,-129.0
68,-123.0
69,-106.0
70,-117.0
71,-165.0
72,-71.0
73,-123.2
74,-78.0
75,-153.0
76,-91.66666666666669
77,-92.5
78,-120.54545454545456
79,-97.5
80,-125.0
81,-154.5
82,-62.0
83,-94.8
84,-91.91666666666669
85,-113.2
86,-57.0
87,-166.625
88,-86.25
89,-122.44444444444444
90,-126.0
91,-146.0
92,-94.06666666666666
93,-119.0
94,-84.0
95,-121.0
96,-96.0
97,-116.75
98,-96.0
99,-112.57142857142856
100,-113.0
101,-91.4
102,-123.5
103,-126.66666666666669
104,-166.0
105,-176.5
106,-52.0
107,-124.33333333333331
108,-109.36363636363636
109,-143.5
110,-134.6
111,-79.0
112,-124.2
113,-115.07692307692308
114,-137.27272727272728
115,-159.4
116,-92.33333333333331
117,-170.0
118,-108.71428571428572
119,-163.0
120,-141.44444444444446
121,-73.0
122,-119.5
123,-110.0
124,-91.5
125,-113.875
126,-111.0
127,-101.5
128,-149.33333333333334
129,-139.77777777777777
130,-85.33333333333333
131,-93.28571428571428
132,-104.75
133,-106.0
134,-109.66666666666669
135,-120.57142857142856
136,-197.0
137,-108.5
138,-55.0
139,-112.5
140,-181.0
141,-54.0
142,-143.0
143,-189.5
144,-116.13333333333334
145,-127.6
146,-108.33333333333331
147,-75.6
148,-98.75
149,-122.375
150,-122.66666666666669
151,-104.1875
152,-125.53846153846152
153,-109.5
154,-88.375
155,-143.0
156,-125.66666666666669
157,-120.8
158,-121.25
159,-118.11111111111111
160,-129.14285714285714
161,-123.66666666666669
162,-124.625
163,-168.0
164,-93.0
165,-85.0
166,-128.44444444444446
167,-111.5
168,-88.4
169,-117.0
170,-98.5
171,-128.41666666666666
172,-130.0
173,-132.75
174,-93.0
175,-113.0
176,-125.4
177,-102.7
178,-79.0
179,-119.28571428571428
180,-134.0
181,-134.75
182,-128.66666666666666
183,-152.85714285714286
184,-86.0
185,-145.6
186,-114.6
187,-141.0
188,-93.0
189,-116.0
190,-147.0
191,-106.86666666666666
192,-221.0
193,-216.0
194,-96.66666666666669
195,-84.0
196,-92.1818181818182
197,-137.0
198,-114.0
199,-134.6
200,-137.16666666666666
201,-132.83333333333334
202,-119.5
203,-123.57142857142856
204,-124.6
205,-132.15384615384616
206,-101.5
207,-71.0
208,-79.66666666666667
209,-131.0
210,-55.0
211,-122.4
212,-155.0
213,-86.25
214,-104.625
215,-88.5
216,-129.0
217,-83.42857142857143
218,-128.42857142857142
219,-120.66666666666669
220,-136.66666666666666
221,-100.73333333333332
222,-112.0
223,-90.0
224,-146.5
225,-139.14285714285714
226,-123.875
227,-142.0
228,-132.71428571428572
229,-164.0
230,-155.33333333333334
231,-68.0
232,-131.22222222222223
233,-158.5
234,-109.66666666666669
235,-104.5
236,-106.66666666666669
237,-118.66666666666669
238,-89.16666666666667
239,-143.33333333333334
240,-109.1
241,-116.2
242,-116.55555555555556
243,-151.83333333333334
244,-74.0
245,-115.6
246,-137.75
247,-155.0
248,-153.54545454545453
249,-132.76923076923077
250,-102.16666666666669
251,-86.5
252,-100.66666666666669
253,-121.5
254,-57.0
255,-133.05882352941177
256,-133.5
257,-109.0
258,-89.0
259,-134.0
260,-81.0
261,-120.89473684210526
262,-144.46153846153845
263,-109.5
264,-132.0
265,-124.33333333333331
266,-140.0
267,-112.0
268,-120.66666666666669
269,-136.625
270,-150.875
271,-106.0
272,-121.75
273,-133.4
274,-80.66666666666667
275,-104.125
276,-103.93333333333334
277,-120.77777777777776
278,-132.71428571428572
279,-55.0
280,-127.0
281,-104.85714285714286
282,-130.6
283,-120.0
284,-101.44444444444444
285,-133.0
286,-184.0
287,-165.0
288,-105.1818181818182
289,-66.0
290,-110.0
291,-57.0
292,-129.9
293,-106.71428571428572
294,-111.14285714285714
295,-111.22222222222224
296,-139.85714285714286
297,-103.5
298,-134.08333333333334
299,-140.0
300,-109.33333333333331
301,-112.0
302,-78.0
303,-108.4
304,-98.5
305,-105.5
306,-74.0
307,-109.0
308,-105.0
309,-124.33333333333331
310,-190.0
311,-68.0
312,-157.0
313,-148.25
314,-100.3
315,-137.0
316,-95.5
317,-68.0
318,-148.5
319,-103.375
320,-106.0
321,-114.41666666666669
322,-127.57142857142856
323,-155.5
324,-66.0
325,-176.0
326,-146.125
327,-130.66666666666666
328,-117.5
329,-101.33333333333331
330,-168.5
331,-117.8
332,-65.0
333,-88.0
334,-107.14285714285714
335,-104.75
336,-139.44444444444446
337,-127.4
338,-189.0
339,-117.0
340,-132.64705882352942
341,-106.33333333333331
342,-181.66666666666663
343,-134.69230769230768
344,-84.0
345,-75.0
346,-112.28571428571428
347,-108.33333333333331
348,-102.92857142857144
349,-144.875
350,-125.0
351,-161.0
352,-102.92857142857144
353,-103.125
354,-113.57142857142856
355,-94.0
356,-148.0
357,-103.8076923076923
358,-107.25
359,-111.14285714285714
360,-124.0
361,-122.08333333333331
362,-112.35
363,-118.66666666666669
364,-131.77777777777777
365,-79.0
366,-123.3846153846154
367,-122.22222222222224
368,-112.75
369,-96.66666666666669
370,-119.66666666666669
371,-146.0
372,-105.57142857142856
373,-90.42857142857144
374,-104.28571428571428
