,0
0,611.5928290766208
1,615.6559922367783
2,613.7437588318418
3,592.7478180983004
4,596.7452115812918
5,595.9427947598253
6,590.6607511349566
7,598.5229838709678
8,587.7620935765266
9,583.6273317112733
10,594.1838582677166
11,586.6481983727238
12,596.8807482462977
13,591.9347742184485
14,588.1929029822575
15,579.8293502613891
16,580.5433419402434
17,570.9015012815819
18,566.6043243243244
19,562.1524695776665
20,583.8938906752412
21,558.1944739638682
22,557.4797627355199
23,569.7539543057997
24,556.6306937631394
25,546.3891557995881
26,542.9887448840382
27,546.0953360768176
28,531.7644670050762
29,529.9022790055249
30,536.7835745540223
31,526.3700732472968
32,543.4838485585273
33,532.6568924839905
34,541.0308001339137
35,531.5659675236807
36,527.3316582914573
37,528.7233613445378
38,529.0799462546188
39,521.2746148693905
40,537.1267089029676
41,524.5564489112228
42,521.0679933665008
43,525.3526262964202
44,523.2515998652746
45,522.5497487437186
46,527.9086682165394
47,526.0874079035499
48,540.4671361502348
49,519.7751243781095
50,559.0161398789509
51,522.3458319383998
52,516.8847424042273
53,517.1305500331346
54,524.6317725752508
55,525.1516447368421
56,516.969113372093
57,532.2980866062437
58,540.1918325326012
59,556.5036572622779
60,534.9946146078761
61,529.5184687709873
62,528.9177991382168
63,525.1013333333333
64,522.4485666104553
65,525.9019673224408
66,524.9126084056037
67,523.4316451506123
68,525.2174629324547
69,523.6522599802046
